   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP   NVIDIA GPU     VID   POWER
2026-07-16  22:58:51  50.50   14.2  100.0       0   97    1605    54   1.2516   77.7
2026-07-16  22:58:52  45.67    7.5  100.0       0  100    1605    54   1.3513   78.8   TEMP
2026-07-16  22:58:53  47.91   14.4  100.0       0   92    1605    54   1.3151   95.1   PL2
2026-07-16  22:58:54  45.50   18.8  100.0       0   93    1605    54   1.1959   81.6   PL1
2026-07-16  22:58:55  43.82   15.3  100.0       0   89    1605    54   1.2495   71.4   PL1
2026-07-16  22:58:56  38.86   23.4  100.0       0   83    1605    54   1.0127   70.0   PL1
2026-07-16  22:58:57  31.29   24.7  100.0       0   81    1605    54   1.0785   71.0   PL1
2026-07-16  22:58:58  42.91   18.2  100.0       0   87    1605    54   1.2739   68.5   PL1
2026-07-16  22:58:59  41.48   16.1  100.0       0   87    1605    54   1.1495   70.6   PL1
2026-07-16  22:59:00  41.95   15.0  100.0       0   89    1605    53   1.2350   66.0   PL1
2026-07-16  22:59:01  38.69   19.1  100.0       0   84    1605    53   1.1476   70.6   PL1
2026-07-16  22:59:02  39.73   15.7  100.0       0   85    1605    53   1.1504   70.4   PL1
2026-07-16  22:59:03  39.62   15.1  100.0       0   81    1605    53   1.1294   65.1   PL1
2026-07-16  22:59:04  19.89   17.1  100.0       0   82    1605    53   1.1626   69.6   PL1
2026-07-16  22:59:05  40.75   14.2  100.0       0   80    1605    53   1.0857   72.1   PL1
2026-07-16  22:59:06  36.33   19.9  100.0       0   82    1605    53   1.1089   75.0   PL1
2026-07-16  22:59:07  40.07   15.1  100.0       0   88    1605    53   1.1364   74.7   PL1
2026-07-16  22:59:08  38.90    9.6  100.0       0   89    1605    53   1.1876   69.0   PL1
2026-07-16  22:59:09  43.33    8.4  100.0       0   87    1605    53   1.2096   73.5   PL1
2026-07-16  22:59:10  39.49   10.0  100.0       0   85    1605    53   1.1401   73.9   PL1
2026-07-16  22:59:11  39.27   11.5  100.0       0   87    1605    53   1.1746   65.8   PL1
2026-07-16  22:59:12  43.31    8.3  100.0       0   96    1605    53   1.2068   67.7   PL1
2026-07-16  22:59:13  44.99   10.9  100.0       0   96    1605    53   1.2554   66.0   PL1
2026-07-16  22:59:14  49.07   10.9  100.0       0   87    1605    52   1.0681   70.6   PL1
2026-07-16  22:59:15  43.09   11.1  100.0       0   84    1605    52   1.3038   70.9   PL1
2026-07-16  22:59:16  51.72    7.5  100.0       0   84    1605    52   1.4080   58.9
2026-07-16  22:59:17  48.01    6.5  100.0       0   77    1605    52   1.4138   38.7
2026-07-16  22:59:18  52.06    6.4  100.0       0   87    1605    52   1.4398   43.4
